STANDARD_VALUE,ALogP,ALogp2,AMR,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,MW,AMW
17900,0.987,0.974169,56.726,3,4,3,4,0,0,286.1681279,6.655072743
2150,0.0624,0.00389376,45.6525,3,4,3,4,0,0,248.1524779,6.530328365
7800,-0.6895,0.47541025,41.3981,3,4,3,4,1,2,236.1524779,6.382499402
15400,0.4165,0.17347225,52.9524,3,4,3,4,1,1,274.1681279,6.52781257
860,0.0466,0.00217156,48.7566,3,5,4,5,1,1,350.1630426,7.295063387
1202.26,0.186,0.034596,9.6956,2,3,3,2,1,2,250.0906266,8.336354219
28840.32,-1.0436,1.08910096,13.0452,3,3,3,3,2,4,247.1109474,7.722217107
4265.8,-0.3455,0.11937025,16.1389,2,3,3,3,1,2,262.1106131,7.709135678
5888.44,-1.0436,1.08910096,13.0452,3,3,3,3,2,4,247.1109474,7.722217107
436.52,0.186,0.034596,9.6956,2,3,3,2,1,2,250.0906266,8.336354219
5370.32,0.4506,0.20304036,14.4387,2,2,2,2,1,2,266.061076,8.868702534
53,0.2007,0.04028049,47.1375,3,4,3,4,1,1,258.1368278,6.976671022
6606.93,0.4506,0.20304036,14.4387,2,2,2,2,1,2,266.061076,8.868702534
3890.45,0.3483,0.12131289,14.3252,2,2,2,2,1,2,246.1156984,7.458051468
6456.54,-0.3455,0.11937025,16.1389,2,3,3,3,1,2,262.1106131,7.709135678
1659.59,-0.3455,0.11937025,16.1389,2,3,3,3,1,2,262.1106131,7.709135678
4570.88,0.3483,0.12131289,14.3252,2,2,2,2,1,2,246.1156984,7.458051468
67608.3,0.3664,0.13424896,12.7131,2,4,4,5,1,2,277.0851266,8.658910206
70,-2.1327,4.54840929,108.3526,6,7,6,7,1,1,514.3882915,5.912509097
40,-1.8447,3.40291809,105.441,6,7,6,7,1,1,500.3726414,5.956817159
930,-0.4047,0.16378209,90.883,6,7,6,7,1,1,430.2943911,6.236150595
380,-0.6927,0.47983329,93.7946,6,7,6,7,1,1,444.3100411,6.170972794
80,-0.9807,0.96177249,96.7062,6,7,6,7,1,1,458.3256912,6.111009216
